id;name;performer;release_year;disc_count;medium;label;state;added
1;cross-platform human-resource;FTP Fresh port;Infrastructure Lesotho Fantastic;mobile Motorway;EXE Fantastic Incredible;initiatives Table online;LOST;2022-02-08T05:41:21
2;Metal solid client-driven;Generic;payment;District HDD;Persistent hack;connecting Card;AWAY;2022-02-07T22:30:13
3;Mouse;Refined Coordinator seamless;real-time SSL;Directives Visionary;Ergonomic Cliffs deploy;bypassing Berkshire;EXPECTED;2022-02-08T04:40:42
4;frictionless Engineer Burkina;Bedfordshire National;Principal Plastic;up Generic;Polarised Paradigm;synergize Account;LOST;2022-02-07T19:04:38
5;Consultant Cambridgeshire Reactive;vortals;Tactics monitor GB;Internal;Interactions;Borders;LOST;2022-02-08T03:40:14
6;Incredible hack;Nevada Peso;orange;HTTP well-modulated;Solutions Pants;dedicated;EXPECTED;2022-02-07T16:53:45
7;Incredible;Borders Granite;Sweden Dynamic Technician;interface;Belgium Berkshire Bedfordshire;Cambridgeshire Auto;AWAY;2022-02-07T20:53:32
8;Object-based microchip Organized;Fantastic Niger;initiatives;systematic quantifying;Buckinghamshire;National Bike Court;AWAY;2022-02-08T11:44:14
9;Pizza Facilitator;background TCP;Ohio circuit quantifying;Shirt Gloves;transparent;Nebraska Fully-configurable;EXPECTED;2022-02-08T02:30:07
10;Table ability;Corporate 5th archive;communities deposit;Utah Borders;Cambridgeshire;Dynamic secondary;LOST;2022-02-08T08:23:31
